jour_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;Numero;devise;
Mercredi;23/09/2015;midi;23/11/2015;3 797 609;eur;
Mardi   ;22/09/2015;soir;22/11/2015;1 562 077;eur;
Mardi   ;22/09/2015;midi;22/11/2015;8 068 609;eur;
Lundi   ;21/09/2015;soir;21/11/2015;7 641 225;eur;
Lundi   ;21/09/2015;midi;21/11/2015;2 437 063;eur;
Dimanche;20/09/2015;soir;20/11/2015;7 258 659;eur;
Dimanche;20/09/2015;midi;20/11/2015;7 536 353;eur;
Samedi  ;19/09/2015;soir;19/11/2015;1 066 204;eur;
Samedi  ;19/09/2015;midi;19/11/2015;8 516 970;eur;
Vendredi;18/09/2015;soir;18/11/2015;6 262 157;eur;
Vendredi;18/09/2015;midi;18/11/2015;5 726 144;eur;
Jeudi   ;17/09/2015;soir;17/11/2015;4 163 887;eur;
Jeudi   ;17/09/2015;midi;17/11/2015;9 217 722;eur;
Mercredi;16/09/2015;soir;16/11/2015;0 966 820;eur;
Mercredi;16/09/2015;midi;16/11/2015;0 753 794;eur;
Mardi   ;15/09/2015;soir;15/11/2015;0 903 565;eur;
Mardi   ;15/09/2015;midi;15/11/2015;2 729 900;eur;
Lundi   ;14/09/2015;soir;14/11/2015;8 689 015;eur;
Lundi   ;14/09/2015;midi;14/11/2015;2 379 321;eur;
Dimanche;13/09/2015;soir;13/11/2015;2 768 662;eur;
Dimanche;13/09/2015;midi;13/11/2015;4 951 639;eur;
Samedi  ;12/09/2015;soir;12/11/2015;7 958 545;eur;
Samedi  ;12/09/2015;midi;12/11/2015;0 653 194;eur;
Vendredi;11/09/2015;soir;11/11/2015;1 802 065;eur;
Vendredi;11/09/2015;midi;11/11/2015;9 134 234;eur;
Jeudi   ;10/09/2015;soir;10/11/2015;2 819 577;eur;
Jeudi   ;10/09/2015;midi;10/11/2015;3 923 638;eur;
Mercredi;09/09/2015;soir;09/11/2015;6 061 653;eur;
Mercredi;09/09/2015;midi;09/11/2015;4 728 032;eur;
Mardi   ;08/09/2015;soir;08/11/2015;9 834 039;eur;
Mardi   ;08/09/2015;midi;08/11/2015;3 341 492;eur;
Lundi   ;07/09/2015;soir;07/11/2015;6 863 101;eur;
Lundi   ;07/09/2015;midi;07/11/2015;1 548 935;eur;
Dimanche;06/09/2015;soir;06/11/2015;3 897 517;eur;
Dimanche;06/09/2015;midi;06/11/2015;4 421 294;eur;
Samedi  ;05/09/2015;soir;05/11/2015;5 791 191;eur;
Samedi  ;05/09/2015;midi;05/11/2015;1 379 347;eur;
Vendredi;04/09/2015;soir;04/11/2015;6 148 752;eur;
Vendredi;04/09/2015;midi;04/11/2015;7 670 556;eur;
Jeudi   ;03/09/2015;soir;03/11/2015;5 928 881;eur;
Jeudi   ;03/09/2015;midi;03/11/2015;9 855 940;eur;
Mercredi;02/09/2015;soir;02/11/2015;6 722 328;eur;
Mercredi;02/09/2015;midi;02/11/2015;6 117 787;eur;
Mardi   ;01/09/2015;soir;01/11/2015;1 808 135;eur;
Mardi   ;01/09/2015;midi;01/11/2015;4 548 182;eur;
Lundi   ;31/08/2015;soir;31/10/2015;7 322 067;eur;
Lundi   ;31/08/2015;midi;31/10/2015;8 016 547;eur;
